Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
GOOG,Alphabet Class C,"3,765,070.28M",311.24,2.98%,-2.32%,-6.46%,+64.7%,+258%,"23,091,879",28.83,1.09,Communication Services,Interactive Media & Services
GOOGL,Alphabet Class A,"3,761,683.12M",310.96,2.98%,-2.39%,-6.30%,+65.7%,+257%,"43,587,083",28.77,1.09,Communication Services,Interactive Media & Services
META,Meta Platforms Inc,"1,691,484.82M",668.69,2.68%,-0.30%,+4.16%,+4.0%,+142%,"13,760,303",22.88,1.29,Communication Services,Interactive Media & Services
NFLX,Netflix Inc,"336,210.61M",79.63,0.53%,-3.14%,-10.94%,-14.5%,+73%,"38,881,688",31.51,1.71,Communication Services,Movies & Entertainment
TMUS,T-Mobile US Inc,"234,372.59M",209.54,0.37%,+5.07%,+6.09%,-15.3%,+51%,"11,584,520",20.15,0.43,Communication Services,Wireless Telecommunication Services
VZ,Verizon Communications Inc,"206,506.49M",48.97,0.33%,+3.33%,+22.92%,+13.0%,-31%,"47,600,324",12.06,0.31,Communication Services,Integrated Telecommunication Services
T,AT&T Inc,"199,306.51M",28.47,0.32%,+3.87%,+19.92%,+10.4%,+14%,"60,131,443",9.33,0.37,Communication Services,Integrated Telecommunication Services
DIS,Walt Disney Co,"191,536.74M",108.12,0.30%,-1.67%,-4.17%,-0.2%,-37%,"8,883,698",15.93,1.42,Communication Services,Movies & Entertainment
CMCSA,Comcast Corp,"116,930.13M",32.50,0.19%,+0.59%,+11.84%,-5.7%,-43%,"26,133,708",6.05,0.79,Communication Services,Cable & Satellite
WBD,Warner Bros Discovery Inc,"69,358.02M",27.98,0.11%,+0.67%,-1.48%,+163.8%,-4%,"21,768,973",149.49,1.61,Communication Services,Broadcasting
EA,Electronic Arts,"50,610.56M",202.24,0.08%,-0.17%,-0.98%,+65.9%,+42%,"2,454,124",75.65,0.75,Communication Services,Interactive Home Entertainment
TKO,TKO Group Holdings Inc,"41,040.93M",210.38,0.07%,-1.74%,+5.67%,+30.5%,+335%,"626,218",87.78,0.68,Communication Services,Movies & Entertainment
TTWO,Take-Two Interactive Software Inc,"37,756.35M",203.89,0.06%,-3.24%,-18.09%,+18.8%,+23%,"3,978,914",-9.12,0.93,Communication Services,Interactive Home Entertainment
LYV,Live Nation Entertainment Inc,"35,089.25M",151.11,0.06%,+1.20%,+1.52%,+0.5%,+94%,"2,151,874",110.23,1.14,Communication Services,Movies & Entertainment
CHTR,Charter Communications Inc,"30,526.69M",241.07,0.05%,-2.87%,+16.64%,-40.3%,-68%,"2,257,335",6.64,1.03,Communication Services,Cable & Satellite
FOXA,Fox Corp. Class A,"25,996.19M",61.11,0.02%,-3.57%,-17.37%,+42.2%,+151%,"4,956,760",14.72,0.53,Communication Services,Broadcasting
FOX,Fox Corp. Class B,"23,588.43M",55.45,0.02%,-3.53%,-16.93%,+34.9%,+125%,"1,984,777",13.36,0.53,Communication Services,Broadcasting
OMC,Omnicom Group Inc,"21,808.07M",69.32,0.03%,-5.12%,-11.31%,-11.2%,+29%,"6,468,436",10.22,0.75,Communication Services,Advertising
NWS,News Corp Class B,"14,859.19M",26.75,0.01%,-1.64%,-12.30%,-1.7%,+67%,"1,321,266",13.19,0.98,Communication Services,Publishing
TTD,Trade Desk Inc,"13,168.16M",27.23,0.02%,-3.20%,-26.21%,-74.4%,-53%,"9,921,006",31.07,1.10,Communication Services,Advertising
NWSA,News Corp Class A,"12,895.92M",23.22,0.01%,-1.53%,-12.51%,-3.9%,+45%,"3,923,131",29.95,0.98,Communication Services,Publishing
PSKY,Paramount Skydance Corp,"11,799.09M",11.01,0.02%,+1.57%,-9.38%,+3.0%,-64%,"6,818,843",-42.04,1.21,Communication Services,Movies & Entertainment
MTCH,Match Group Inc,"7,410.24M",31.39,0.01%,-3.39%,-2.12%,-12.8%,-79%,"4,810,080",13.18,1.31,Communication Services,Interactive Media & Services
