Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
AMZN,Amazon.com Inc,"2,192,016.97M",204.19,3.47%,-1.34%,-17.15%,+0.7%,+42%,"62,917,139",28.47,1.40,Consumer Discretionary,Broadline Retail
TSLA,Tesla Inc,"1,608,310.23M",428.61,2.55%,+0.80%,-4.53%,+6.4%,+91%,"55,227,674",398.55,1.89,Consumer Discretionary,Automobile Manufacturers
HD,Home Depot Inc,"388,925.85M",390.68,0.62%,+0.26%,+4.20%,-9.1%,+30%,"3,090,369",26.65,1.09,Consumer Discretionary,Home Improvement Retail
MCD,McDonald's Corp,"230,174.01M",323.21,0.36%,-0.85%,+5.37%,+9.1%,+42%,"4,149,639",27.57,0.53,Consumer Discretionary,Restaurants
TJX,TJX Companies Inc,"167,403.35M",150.75,0.27%,-1.66%,-4.04%,+20.1%,+125%,"5,092,629",33.29,0.74,Consumer Discretionary,Apparel Retail
LOW,Lowe's Companies Inc,"161,015.09M",287.04,0.26%,+0.83%,+5.96%,+2.7%,+50%,"2,860,317",23.81,0.97,Consumer Discretionary,Home Improvement Retail
BKNG,Booking Holdings Inc,"138,989.94M","4,312.44",0.22%,+0.73%,-20.01%,+5.6%,+140%,"658,043",28.03,1.20,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SBUX,Starbucks Corp,"112,927.42M",99.12,0.18%,+1.63%,+10.18%,-14.6%,-21%,"6,782,567",82.57,0.93,Consumer Discretionary,Restaurants
MAR,Marriott International Inc,"96,270.56M",358.75,0.15%,-0.17%,+10.95%,+8.5%,+135%,"2,434,151",37.78,1.09,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NKE,Nike Inc,"92,301.69M",62.35,0.15%,-1.09%,-5.01%,-19.6%,-55%,"15,071,202",36.56,1.28,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RCL,Royal Caribbean Cruises Ltd,"90,252.68M",333.75,0.14%,-3.90%,+10.83%,+21.8%,+273%,"2,669,570",21.38,1.86,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
