Date,ADS.DE,AIR.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DHL.DE,DTE.DE,DTG.DE,ENR.DE,EOAN.DE,FME.DE,FRE.DE,HEN3.DE,HNR1.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,P911.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,SHL.DE,SIE.DE,SRT3.DE,SY1.DE,VNA.DE,VOW3.DE,WCH.DE,ZAL.DE
2017-01-02,445138,89712,855478,1245318,1217856,173115,774391,110032,6626337,233300,47290,5657913,1451574.0,5887148,,,6957428,380089,687054,247350,54858,2165265,2399347,201509,56644,273988,,200552,130333,107279,3706107,1121699,,1161592,21933,129904,724361,947388,63638,142055
2017-01-03,641172,136548,1623857,2806564,1774642,381626,1514253,229600,15602528,457462,170159,15509039,2548784.0,7079500,,,10582812,507886,1068544,409112,106484,3853360,4980484,387435,123394,504381,,535104,213728,164311,4979070,1801855,,2241748,69412,238849,2035145,2065730,146035,483411
2017-01-04,618563,143517,1221389,1955701,2069588,244616,1224694,217878,16591646,354258,159109,14429132,3020514.0,9135720,,,8110881,501102,958017,295647,120964,3795852,3501079,283154,182695,348636,,449377,263374,110506,3354236,2067356,,1826651,46338,236792,1596298,1570153,114505,539248
2017-01-05,739147,190198,1469189,1753933,1922551,227196,967699,204160,13248085,334149,190216,15983433,3778146.0,7221612,,,6821258,524049,905509,249505,215242,2659112,3824521,411252,131958,558838,,438944,173456,144280,2357164,1617422,,1992760,30913,309992,2084592,984929,80067,319191
2017-01-06,641054,91251,965147,1518979,1614471,162129,969606,267722,10229471,594076,77561,11183917,2302489.0,7530013,,,7002514,697152,659815,255181,95482,3083505,2558777,235813,135286,527828,,264342,194534,89252,3304833,1890644,,1611389,22121,182857,1559485,795889,83492,308847
2017-01-09,583147,81273,963965,1398151,1973122,216127,1413820,292645,9219554,683518,118433,9424443,2638643.0,8138696,,,6713309,2815020,2061287,317869,103867,3832968,3275069,270634,143213,428845,,687941,190456,86503,2787562,2393595,,1735815,55680,227624,1270410,2936933,100608,235413
2017-01-10,460627,180414,1079462,1656378,2175344,251458,1252387,252963,13217353,657837,96981,12886961,2727733.0,9147763,,,11885718,1580662,1132915,361287,168495,3436699,3455695,260163,144662,372569,,554196,208379,113880,3152845,1917100,,2483526,40264,286311,1565943,2345934,152119,283978
2017-01-11,412401,117411,1069138,1863541,1453622,508830,1438353,538026,9529297,548272,42847,10375661,2984476.0,9500115,,,26015232,880120,910917,664679,97453,3423403,4257393,403444,198158,440109,,916449,365773,165424,7220067,1909354,,2871822,53581,367730,1489914,3083904,113760,460474
2017-01-12,534037,131887,1262387,1487913,1839270,378633,2233218,378025,11170219,708102,63310,9782350,2604394.0,11429327,,,21858592,812314,856971,420485,106023,3681358,8285049,431803,163789,489762,,906309,297433,147453,7069116,1660287,,2306751,89580,322415,1600829,2087746,122205,674495
2017-01-13,487101,116075,1038182,1566144,1770664,287961,1908167,233241,13766479,525044,30487,13769051,2395196.0,6525549,,,12281550,785504,922612,352958,96303,2796723,4630368,402853,119211,452562,,645126,197525,142670,3477907,1406227,,2150557,62079,290071,1431384,1682289,100106,622717
2017-01-16,351401,105547,936286,1215592,1042022,318056,1384090,170866,8556767,249037,23919,8743192,1640456.0,4629061,,,10568475,629611,884054,316182,91535,2697509,3703981,267174,79777,297112,,518056,158352,142637,5187701,1099899,,1476864,58873,224056,1160959,982722,76394,373425
2017-01-17,433069,161318,1427607,1953765,1724265,619334,1480197,218506,9940301,415745,59916,12488082,2724104.0,6412602,,,8101383,699252,845341,435965,121494,3125606,4017529,381001,155982,545357,,449679,241920,221449,4234291,1578494,,1880785,56696,376416,1524518,1407380,235641,1846133
2017-01-18,680676,79366,1125000,1657978,2009093,327983,1077436,241505,10127118,358213,49502,13126822,2242639.0,6166882,,,16499610,637261,1083269,351721,154607,3575999,2483163,503055,145352,470132,,469237,313885,347529,3639119,1826093,,1764959,47227,368887,1506229,900374,167748,904016
2017-01-19,621644,138923,1214829,2619702,1983775,394472,1368684,320382,20354676,296865,25867,12802422,2535975.0,8748322,,,11817024,519555,1042512,460884,120204,2856410,3277998,445923,184859,363658,,375126,451495,247935,4696243,2178360,,2156980,91792,308859,2191406,958189,179257,378700
2017-01-20,755126,116493,1760228,2949945,2635581,430213,1646303,237373,23136969,581131,89304,16029365,3440010.0,12345678,,,11557939,714433,1477878,446367,119257,3823051,4940487,513320,140275,759299,,299543,442318,237374,3058368,3038209,,3140075,52795,235927,2179071,1185073,110277,1160243
