Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
BRK.B,Berkshire Hathaway Inc,"1,068,102.78M",500.02,1.69%,-0.06%,+0.27%,+2.5%,+117%,"3,504,101",15.99,0.70,Financials,Multi-Sector Holdings
JPM,JPMorgan Chase & Co,"838,032.87M",310.82,1.33%,-2.34%,-4.21%,+14.4%,+154%,"8,197,808",15.53,1.05,Financials,Diversified Banks
V,Visa Inc,"627,534.74M",329.24,0.99%,+0.33%,-4.07%,-5.8%,+60%,"8,084,888",30.89,0.78,Financials,Transaction & Payment Processing Services
MA,Mastercard Inc,"480,489.24M",537.46,0.76%,-0.54%,-5.09%,-3.0%,+60%,"3,593,605",32.53,0.82,Financials,Transaction & Payment Processing Services
BAC,Bank of America Corp,"388,390.97M",53.85,0.62%,-2.78%,-2.43%,+14.9%,+81%,"47,765,400",14.13,1.27,Financials,Diversified Banks
GS,Goldman Sachs Group Inc,"283,310.87M",944.59,0.45%,-0.46%,-0.52%,+46.1%,+233%,"2,533,825",18.41,1.31,Financials,Investment Banking & Brokerage
MS,Morgan Stanley,"279,684.44M",176.68,0.44%,-0.68%,-5.30%,+32.0%,+159%,"7,620,305",17.31,1.18,Financials,Investment Banking & Brokerage
WFC,Wells Fargo & Co,"275,086.78M",88.95,0.44%,-3.22%,-6.33%,+14.8%,+209%,"15,031,495",14.19,1.06,Financials,Diversified Banks
AXP,American Express Co,"243,066.80M",354.01,0.39%,-2.53%,-1.55%,+10.9%,+206%,"3,336,611",23.02,1.13,Financials,Consumer Finance
C,Citigroup Inc,"210,045.93M",117.39,0.33%,-3.90%,-0.26%,+42.1%,+89%,"13,284,888",16.84,1.14,Financials,Diversified Banks
SCHW,Charles Schwab Corp,"169,608.92M",95.45,0.27%,-3.83%,-6.33%,+25.6%,+88%,"23,759,128",20.47,0.91,Financials,Investment Banking & Brokerage
BLK,BlackRock Inc,"168,008.83M","1,082.88",0.27%,-0.45%,-0.59%,+4.0%,+48%,"937,002",31.25,1.49,Financials,Asset Management & Custody Banks
BX,Blackstone Inc,"159,399.22M",133.47,0.25%,-0.26%,-14.76%,-19.6%,+138%,"5,890,163",34.48,1.77,Financials,Asset Management & Custody Banks
COF,Capital One Financial Corp,"134,015.18M",214.39,0.21%,-2.52%,-8.07%,+7.5%,+145%,"4,716,612",63.81,1.13,Financials,Consumer Finance
IBKR,Interactive Brokers Group Inc,"129,497.23M",76.35,0.21%,-1.10%,+7.85%,+37.8%,+322%,"3,425,296",34.35,1.22,Financials,Investment Banking & Brokerage
