Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
CAT,Caterpillar Inc,"362,684.51M",775.00,0.57%,+4.40%,+23.06%,+77.0%,+215%,"3,787,740",41.17,1.54,Industrials,Construction Machinery & Heavy Transportation Equipment
GE,GE Aerospace,"329,043.18M",313.73,0.52%,-0.82%,-3.22%,+50.7%,+473%,"4,912,919",38.94,1.39,Industrials,Aerospace & Defense
RTX,RTX Corp,"263,773.42M",196.51,0.42%,+0.68%,+1.37%,+55.8%,+156%,"4,565,880",39.59,0.42,Industrials,Aerospace & Defense
GEV,GE Vernova Inc,"222,003.77M",823.67,0.35%,+4.16%,+28.74%,+94.8%,+378%,"2,557,885",46.18,--,Industrials,Heavy Electrical Equipment
BA,Boeing Co,"185,546.79M",236.26,0.29%,-2.61%,-1.48%,+32.4%,+1%,"5,617,799",106.37,1.14,Industrials,Aerospace & Defense
DE,Deere & Co,"166,081.88M",612.69,0.26%,+3.25%,+24.85%,+10.8%,+73%,"1,750,388",33.11,0.99,Industrials,Agricultural & Farm Machinery
ETN,Eaton Corporation PLC,"156,534.77M",396.09,0.25%,+4.93%,+20.36%,+7.7%,+165%,"3,699,056",37.89,1.17,Industrials,Electrical Components & Equipment
UNP,Union Pacific Corp,"155,948.83M",262.81,0.25%,+0.57%,+14.51%,-5.1%,+11%,"4,337,690",21.93,0.98,Industrials,Rail Transportation
HON,Honeywell International Inc,"154,135.42M",242.78,0.24%,-0.23%,+16.39%,+7.9%,-3%,"3,841,232",30.28,0.93,Industrials,Industrial Conglomerates
UBER,Uber Technologies Inc,"147,546.71M",71.01,0.23%,-3.39%,-16.13%,+19.8%,+60%,"27,183,264",15.0,1.21,Industrials,Passenger Ground Transportation
LMT,Lockheed Martin Corp,"144,651.30M",628.70,0.23%,-0.14%,+14.05%,+37.0%,+36%,"1,000,879",29.26,0.23,Industrials,Aerospace & Defense
PH,Parker-Hannifin Corp,"125,693.66M",995.83,0.20%,+0.43%,+7.20%,+32.4%,+223%,"663,367",36.32,1.24,Industrials,Industrial Machinery & Supplies & Components
TT,Trane Technologies PLC,"104,587.28M",472.54,0.17%,+2.42%,+22.59%,+15.9%,+168%,"1,281,518",35.95,1.20,Industrials,Building Products
UPS,United Parcel Service Inc,"101,806.80M",120.00,0.16%,+1.10%,+11.08%,-7.0%,-41%,"6,549,289",18.29,1.08,Industrials,Air Freight & Logistics
NOC,Northrop Grumman Corp,"96,339.55M",678.83,0.15%,-0.90%,+7.87%,+42.1%,+87%,"782,178",23.34,0.04,Industrials,Aerospace & Defense
WM,Waste Management Inc,"94,647.76M",234.66,0.15%,+1.27%,+7.36%,+0.9%,+86%,"1,860,509",35.04,0.58,Industrials,Environmental & Facilities Services
GD,General Dynamics Corp,"93,646.88M",346.34,0.15%,-3.48%,-4.04%,+36.6%,+126%,"1,876,632",22.41,0.40,Industrials,Aerospace & Defense
HWM,Howmet Aerospace Inc,"92,815.55M",230.85,0.15%,+2.84%,+4.86%,+64.4%,+618%,"4,183,215",64.85,1.24,Industrials,Aerospace & Defense
MMM,3M Co,"91,040.10M",172.85,0.14%,-0.33%,+2.92%,+0.6%,+10%,"2,930,300",28.83,1.07,Industrials,Industrial Conglomerates
ADP,Automatic Data Processing Inc,"87,602.39M",217.57,0.14%,-3.53%,-17.21%,-18.5%,+46%,"4,349,733",20.9,0.86,Industrials,Human Resource & Employment Services
EMR,Emerson Electric Co,"86,924.54M",154.67,0.14%,-4.34%,+6.40%,+13.1%,+65%,"7,302,826",37.92,1.24,Industrials,Electrical Components & Equipment
ITW,Illinois Tool Works Inc,"86,470.11M",298.07,0.14%,+1.30%,+17.10%,+0.8%,+21%,"1,361,349",28.41,1.15,Industrials,Industrial Machinery & Supplies & Components
FDX,FedEx Corp,"86,326.66M",367.16,0.14%,-0.21%,+17.71%,+21.7%,+11%,"1,800,376",20.27,1.32,Industrials,Air Freight & Logistics
JCI,Johnson Controls International PLC,"86,277.39M",140.96,0.14%,+1.59%,+26.55%,+52.9%,+157%,"3,554,047",47.28,1.41,Industrials,Building Products
CMI,Cummins Inc,"82,708.09M",598.90,0.13%,+1.84%,+6.53%,+62.5%,+125%,"994,585",29.2,1.12,Industrials,Construction Machinery & Heavy Transportation Equipment
