Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
NVDA,NVIDIA Corp,"4,617,121.50M",190.00,7.31%,+0.78%,+2.74%,+59.2%,"+1,329%","134,740,510",47.06,2.32,Information Technology,Semiconductors
AAPL,Apple Inc,"4,050,593.90M",275.50,6.42%,+0.67%,+5.86%,+9.9%,+105%,"44,352,914",35.0,1.10,Information Technology,"Technology Hardware, Storage & Peripherals"
MSFT,Microsoft Corp,"3,001,409.90M",404.20,4.75%,-2.20%,-15.29%,+3.7%,+117%,"37,110,638",25.29,1.09,Information Technology,Systems Software
AVGO,Broadcom Inc,"1,625,117.71M",342.76,2.57%,+0.68%,-2.68%,+49.7%,+691%,"15,935,425",71.86,1.22,Information Technology,Semiconductors
MU,Micron Technology Inc,"461,841.78M",410.34,0.73%,+9.94%,+18.64%,+354.7%,+280%,"43,585,364",39.01,1.52,Information Technology,Semiconductors
ORCL,Oracle Corp,"451,541.09M",157.16,0.72%,-1.71%,-23.22%,-3.2%,+201%,"22,832,242",27.81,1.64,Information Technology,Application Software
AMD,Advanced Micro Devices Inc,"348,222.98M",213.58,0.55%,+0.01%,+2.84%,+104.2%,+134%,"31,241,341",82.01,1.96,Information Technology,Semiconductors
CSCO,Cisco Systems Inc,"337,976.25M",85.54,0.54%,-0.87%,+15.58%,+29.2%,+72%,"28,218,849",33.08,0.86,Information Technology,Communications Equipment
PLTR,Palantir Technologies Inc,"323,248.09M",135.68,0.51%,-2.75%,-24.37%,+77.7%,+655%,"49,130,482",214.41,1.70,Information Technology,Application Software
LRCX,Lam Research Corp,"293,610.81M",235.12,0.47%,+3.76%,+6.68%,+188.0%,+262%,"8,714,034",48.19,1.78,Information Technology,Semiconductor Materials & Equipment
AMAT,Applied Materials Inc,"269,769.54M",339.88,0.43%,+3.29%,+10.62%,+78.7%,+198%,"5,654,270",39.2,1.68,Information Technology,Semiconductor Materials & Equipment
IBM,International Business Machines Corp,"255,006.42M",272.81,0.40%,-6.50%,-12.61%,+19.9%,+146%,"7,420,447",22.1,0.69,Information Technology,IT Consulting & Other Services
INTC,Intel Corp,"241,208.55M",48.29,0.38%,+2.46%,+9.60%,+139.2%,-26%,"101,608,108",-588.19,1.38,Information Technology,Semiconductors
TXN,Texas Instruments Inc,"205,614.53M",226.56,0.33%,+2.55%,+19.83%,+16.8%,+6%,"8,829,255",41.34,0.99,Information Technology,Semiconductors
KLAC,KLA Corp,"194,014.79M","1,480.12",0.31%,+3.44%,+3.64%,+93.4%,+369%,"1,047,939",43.07,1.46,Information Technology,Semiconductor Materials & Equipment
ANET,Arista Networks Inc,"177,131.74M",140.66,0.28%,-1.94%,+13.97%,+23.0%,+622%,"6,715,472",53.53,1.45,Information Technology,Communications Equipment
APH,Amphenol Corp,"176,313.61M",144.04,0.28%,-0.07%,-0.74%,+103.6%,+313%,"8,776,597",43.09,1.21,Information Technology,Electronic Components
CRM,Salesforce Inc,"173,345.00M",185.00,0.27%,-4.37%,-28.68%,-37.9%,+19%,"15,731,775",24.67,1.28,Information Technology,Application Software
ADI,Analog Devices Inc,"164,668.31M",337.00,0.26%,+3.64%,+14.68%,+46.7%,+84%,"3,610,178",69.16,1.03,Information Technology,Semiconductors
APP,Applovin Corp,"154,383.50M",456.81,0.24%,-3.41%,-30.64%,+28.0%,+796%,"6,941,969",56.36,2.49,Information Technology,Application Software
QCOM,Qualcomm Inc,"150,489.68M",141.04,0.24%,+0.68%,-16.68%,-12.3%,+12%,"8,893,157",29.14,1.25,Information Technology,Semiconductors
ACN,Accenture PLC,"141,785.88M",230.43,0.22%,-4.33%,-17.98%,-31.5%,+3%,"5,883,877",19.05,1.24,Information Technology,IT Consulting & Other Services
PANW,Palo Alto Networks Inc,"115,214.10M",165.30,0.18%,-0.13%,-12.48%,-4.0%,+211%,"33,260,943",104.93,0.76,Information Technology,Systems Software
INTU,Intuit Inc,"111,207.82M",399.64,0.18%,-5.16%,-37.11%,-17.1%,+74%,"5,909,232",27.44,1.25,Information Technology,Application Software
GLW,Corning Inc,"107,383.20M",132.90,0.17%,+3.75%,+51.23%,+98.2%,+143%,"9,757,048",72.19,1.10,Information Technology,Electronic Components
ADBE,Adobe Inc.,"105,564.18M",257.16,0.17%,-2.84%,-21.51%,-33.0%,-30%,"6,765,882",15.4,1.52,Information Technology,Application Software
NOW,ServiceNow Inc,"105,206.68M",100.58,0.17%,-5.54%,-29.49%,-42.5%,+39%,"25,478,656",60.23,0.99,Information Technology,Systems Software
CRWD,CrowdStrike Holdings Inc,"104,825.70M",415.81,0.17%,+0.59%,-10.96%,+10.9%,+121%,"2,380,551",-329.12,1.04,Information Technology,Systems Software
WDC,Western Digital Corp,"92,808.81M",273.74,0.15%,+4.26%,+29.04%,+408.5%,+312%,"8,481,198",25.87,1.78,Information Technology,"Technology Hardware, Storage & Peripherals"
STX,Seagate Technology Holdings PLC,"88,809.01M",407.25,0.14%,+2.78%,+26.68%,+323.1%,+343%,"2,677,272",46.07,1.64,Information Technology,"Technology Hardware, Storage & Peripherals"
SNDK,Sandisk Corp,"88,444.61M",599.34,0.14%,+10.65%,+53.97%,"+1,130.0%",+559%,"18,547,167",-74.26,--,Information Technology,"Technology Hardware, Storage & Peripherals"
SNPS,Synopsys Inc,"83,838.34M",438.21,0.13%,+0.17%,-17.85%,-11.5%,+81%,"1,955,004",54.67,1.13,Information Technology,Application Software
DELL,Dell Technologies Inc,"82,279.59M",124.16,0.13%,-1.47%,+3.06%,+10.5%,+239%,"5,212,939",16.2,1.00,Information Technology,"Technology Hardware, Storage & Peripherals"
CDNS,Cadence Design Systems Inc,"81,564.73M",299.65,0.13%,+0.22%,-7.94%,-0.4%,+129%,"2,309,196",77.32,1.01,Information Technology,Application Software
MSI,Motorola Solutions Inc,"70,143.41M",421.13,0.11%,+0.34%,+9.20%,-14.2%,+125%,"1,083,427",33.79,1.00,Information Technology,Communications Equipment
TEL,TE Connectivity PLC,"67,037.02M",228.46,0.11%,+1.19%,-2.95%,+50.6%,+88%,"1,271,864",32.93,1.23,Information Technology,Electronic Manufacturing Services
FTNT,Fortinet Inc,"65,307.35M",87.82,0.10%,+2.68%,+11.65%,-19.4%,+167%,"7,743,500",36.19,1.04,Information Technology,Systems Software
NXPI,NXP Semiconductors NV,"62,848.54M",249.73,0.10%,+5.54%,+4.78%,+8.4%,+37%,"4,551,994",31.43,1.45,Information Technology,Semiconductors
MPWR,Monolithic Power Systems Inc,"58,292.72M","1,196.73",0.09%,+4.79%,+23.74%,+76.4%,+147%,"731,334",93.91,1.45,Information Technology,Semiconductors
TER,Teradyne Inc,"50,342.28M",321.45,0.08%,+5.43%,+43.27%,+108.2%,+61%,"3,456,529",92.29,1.80,Information Technology,Semiconductor Materials & Equipment
ADSK,Autodesk Inc,"49,309.08M",232.59,0.08%,-4.51%,-16.30%,-18.8%,-3%,"2,533,354",45.15,1.46,Information Technology,Application Software
