Ticker,Company,MarketCap,Price,Weight,Change_1D,Change_1M,Change_1Y,Change_5Y,Volume_1D,PE_Ratio,Beta,Sector,Industry
WELL,Welltower Inc,"142,674.28M",207.88,0.23%,+3.51%,+11.36%,+38.0%,+187%,"5,329,390",156.34,0.83,Real Estate,Health Care REITs
PLD,Prologis Inc,"129,930.33M",139.88,0.21%,-0.43%,+8.38%,+9.5%,+28%,"3,450,058",39.33,1.43,Real Estate,Industrial REITs
EQIX,Equinix Inc,"85,181.79M",867.52,0.13%,+1.26%,+10.67%,-10.2%,+7%,"568,178",79.43,1.06,Real Estate,Data Center REITs
AMT,American Tower Corp,"84,491.71M",180.48,0.13%,+1.10%,+5.22%,-3.1%,-22%,"1,990,920",28.79,0.94,Real Estate,Telecom Tower REITs
SPG,Simon Property Group Inc,"66,819.75M",194.77,0.11%,-0.78%,+5.38%,+10.0%,+117%,"1,297,517",13.74,1.39,Real Estate,Retail REITs
DLR,Digital Realty Trust Inc,"59,975.27M",174.57,0.09%,+1.18%,+10.58%,+1.3%,+11%,"1,456,179",48.76,1.14,Real Estate,Data Center REITs
O,Realty Income Corp,"59,334.19M",64.50,0.09%,+0.94%,+9.53%,+11.9%,-6%,"6,407,376",60.25,0.79,Real Estate,Retail REITs
PSA,Public Storage,"51,557.17M",293.84,0.08%,+0.52%,+5.24%,-7.5%,+12%,"1,058,473",30.52,1.02,Real Estate,Self-Storage REITs
CBRE,CBRE Group Inc,"44,486.73M",149.49,0.07%,-12.24%,-10.33%,+17.7%,+156%,"7,233,810",36.92,1.31,Real Estate,Real Estate Services
VTR,Ventas Inc,"40,700.18M",85.69,0.06%,+2.13%,+13.23%,+28.6%,+58%,"3,927,294",158.07,0.76,Real Estate,Health Care REITs
CCI,Crown Castle Inc,"37,440.45M",86.07,0.06%,+1.81%,+1.27%,-2.8%,-44%,"2,610,408",34.1,0.99,Real Estate,Telecom Tower REITs
VICI,VICI Properties Inc,"31,177.19M",29.17,0.05%,-0.27%,+4.59%,-5.7%,+10%,"8,189,219",11.1,0.70,Real Estate,Hotel & Resort REITs
EXR,Extra Space Storage Inc,"30,241.38M",142.48,0.05%,+0.74%,+1.50%,-10.4%,+12%,"1,012,487",31.86,1.26,Real Estate,Self-Storage REITs
IRM,Iron Mountain Inc,"29,624.03M",100.22,0.05%,+0.92%,+11.98%,-9.3%,+181%,"2,750,638",187.64,1.17,Real Estate,Other Specialized REITs
AVB,AvalonBay Communities Inc,"25,462.13M",179.83,0.04%,+1.35%,+0.81%,-19.8%,+13%,"1,435,601",24.43,0.75,Real Estate,Multi-Family Residential REITs
EQR,Equity Residential,"24,425.42M",64.65,0.04%,-1.40%,+7.29%,-11.8%,+6%,"3,270,570",21.33,0.75,Real Estate,Multi-Family Residential REITs
SBAC,SBA Communications Corp,"20,346.79M",190.96,0.03%,+0.99%,+3.22%,-6.8%,-31%,"764,267",24.04,0.87,Real Estate,Telecom Tower REITs
CSGP,CoStar Group Inc,"20,288.26M",47.87,0.03%,-5.86%,-19.27%,-19.7%,-27%,"6,056,530",927.71,0.87,Real Estate,Real Estate Services
WY,Weyerhaeuser Co,"19,526.36M",27.10,0.03%,+0.59%,+5.24%,-15.8%,-29%,"6,807,657",60.53,1.02,Real Estate,Timber REITs
ESS,Essex Property Trust Inc,"16,845.26M",261.41,0.03%,-0.42%,+4.53%,-11.5%,+10%,"467,206",25.14,0.73,Real Estate,Multi-Family Residential REITs
INVH,Invitation Homes Inc,"16,674.14M",27.20,0.03%,-0.66%,+2.10%,-14.2%,-6%,"6,388,194",28.48,0.83,Real Estate,Single-Family Residential REITs
MAA,Mid-America Apartment Communities Inc,"15,901.91M",136.03,0.03%,-0.31%,+1.34%,-12.0%,+10%,"937,634",35.93,0.78,Real Estate,Multi-Family Residential REITs
KIM,Kimco Realty Corp,"14,891.41M",21.99,0.02%,-0.90%,+6.75%,-6.1%,+35%,"4,580,884",26.44,1.07,Real Estate,Retail REITs
REG,Regency Centers Corp,"13,986.36M",76.47,0.02%,-0.78%,+8.95%,+1.4%,+51%,"1,289,501",27.19,0.94,Real Estate,Retail REITs
HST,Host Hotels & Resorts Inc,"13,726.29M",19.96,0.02%,+0.15%,+8.83%,+10.9%,+21%,"6,768,170",18.81,1.15,Real Estate,Hotel & Resort REITs
UDR,UDR Inc,"13,143.59M",39.77,0.02%,+0.99%,+9.86%,-11.0%,-5%,"6,620,971",35.36,0.70,Real Estate,Multi-Family Residential REITs
DOC,Healthpeak Properties Inc,"11,787.88M",16.96,0.02%,-0.24%,+0.89%,-16.6%,-47%,"15,951,019",167.75,1.11,Real Estate,Health Care REITs
CPT,Camden Property Trust,"11,784.86M",110.76,0.02%,+0.32%,+3.15%,-4.1%,+10%,"1,084,591",31.34,0.83,Real Estate,Multi-Family Residential REITs
BXP,BXP Inc,"9,795.22M",61.78,0.02%,-6.54%,-7.67%,-11.6%,-29%,"4,303,488",35.53,1.01,Real Estate,Office REITs
ARE,Alexandria Real Estate Equities Inc,"9,316.61M",53.76,0.01%,-5.45%,-1.10%,-43.9%,-73%,"2,358,320",-6.37,1.32,Real Estate,Office REITs
FRT,Federal Realty Investment Trust,"9,226.58M",106.95,0.01%,-0.65%,+5.06%,-6.9%,+18%,"668,781",27.23,1.01,Real Estate,Retail REITs
